08-17 00:00:00 [INFO] services | 商品每日限购次数重置成功...
08-17 00:00:13 [INFO] services | 未检测到@重返未来1999的新微博
08-17 00:00:18 [INFO] services | 未检测到@芬斯伯克1999的新微博
08-17 00:00:20 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message 669858504 from 552491466@[群:178794340] "wc居然抢到了"
08-17 00:00:20 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:00:20 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:00:20 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:00:20 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:00:20 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:00:20 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:00:20 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:00:20 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:00:20 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:00:20 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:00:21 [INFO] services | 未检测到@咕嗞咕嗞1999的新微博
08-17 00:00:46 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message 1357515358 from 1584408682@[群:178794340] "[CQ:image,file=161339109518533d342c49b6cabec02e.image,subType=0,url=https://gchat.qpic.cn/gchatpic_new/1584408682/2168794340-2486762954-161339109518533D342C49B6CABEC02E/0?term=2&amp;is_origin=0]"
08-17 00:00:46 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:00:46 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:00:46 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:00:46 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:00:46 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:00:46 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:00:46 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:00:48 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message -1364283851 from 1584408682@[群:178794340] "好"
08-17 00:00:48 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:00:48 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:00:48 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:00:48 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:00:48 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:00:48 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:00:48 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:00:48 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:00:48 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:00:48 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:00:48 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:00:49 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message -643195229 from 1584408682@[群:178794340] "[CQ:face,id=201]"
08-17 00:00:49 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:00:49 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:00:49 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:00:49 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:00:49 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:00:49 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:00:49 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:00:49 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:00:50 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:00:50 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:00:50 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:00:51 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message 1084280601 from 552491466@[群:178794340] "[CQ:reply,id=777746147][CQ:at,qq=2031972086] [CQ:at,qq=2031972086]  帖子说的观点群里也有讨论到呀"
08-17 00:00:51 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:00:51 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:00:51 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:00:51 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:00:51 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:00:51 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:00:51 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:00:51 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:00:51 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:00:51 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:00:51 [INFO] services | 下载 https://gchat.qpic.cn/gchatpic_new/1584408682/2168794340-2486762954-161339109518533D342C49B6CABEC02E/0?term=2&is_origin=0 成功.. Path：/opt/zhenxun_bot/resources/temp/compare_178794340_img.jpg
08-17 00:00:51 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:01:00 [WARNING] services | 重置原神查询记录成功..
08-17 00:01:01 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message 933756815 from 3585425231@[群:178794340] "[CQ:at,qq=552491466] 帽子不能挂脚本吗"
08-17 00:01:01 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:01:01 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:01:02 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:01:02 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:01:02 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:01:02 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:01:02 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:01:02 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:01:02 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:01:02 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:01:07 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message -1446811092 from 552491466@[群:178794340] "怎么今天又好抢了"
08-17 00:01:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.black_word)
08-17 00:01:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.mute)
08-17 00:01:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=basic_plugins.chat_history.chat_message)
08-17 00:01:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.parse_bilibili_json)
08-17 00:01:07 [INFO] nonebot | Matcher(type='message', module=plugins.black_word) running complete
08-17 00:01:07 [INFO] nonebot | Matcher(type='message', module=plugins.mute) running complete
08-17 00:01:07 [INFO] nonebot | Matcher(type='message', module=plugins.parse_bilibili_json) running complete
08-17 00:01:07 [INFO] nonebot | Matcher(type='message', module=basic_plugins.chat_history.chat_message) running complete
08-17 00:01:07 [INFO] nonebot | Event will be handled by Matcher(type='message', module=plugins.fudu)
08-17 00:01:07 [INFO] nonebot | Matcher(type='message', module=plugins.fudu) running complete
08-17 00:01:15 [SUCCESS] nonebot | OneBot V11 920935721 | [message.group.normal]: Message -557557062 from 1584408682@[群:178794340] "不晓得"
